City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
64,64,Gravdal,NO,2021-11-29 00:28:05,68.1214,13.5031,31.84,46,100,15.26
65,65,Kenora,CA,2021-11-29 00:28:05,49.8167,-94.4337,24.78,79,90,0.0
66,66,Hasaki,JP,2021-11-29 00:28:05,35.7333,140.8333,45.0,45,16,4.07
67,67,Raduzhnyy,RU,2021-11-29 00:28:06,62.0961,77.475,9.84,95,100,7.52
68,68,Krasnogorskoye,RU,2021-11-29 00:28:06,52.2953,86.1979,9.9,96,73,2.86
69,69,Iguatu,BR,2021-11-29 00:28:06,-6.3594,-39.2986,83.8,42,58,1.5
70,70,Dicabisagan,PH,2021-11-29 00:28:07,17.0818,122.4157,78.75,88,89,0.45
71,71,Kudahuvadhoo,MV,2021-11-29 00:28:07,2.6708,72.8944,82.35,74,99,17.85
72,72,Ancud,CL,2021-11-29 00:25:22,-41.8697,-73.8203,53.13,82,88,6.93
73,73,Sumenep,ID,2021-11-29 00:28:08,-7.0167,113.8667,74.46,92,100,4.79
74,74,Atuona,PF,2021-11-29 00:25:58,-9.8,-139.0333,78.6,71,2,17.02
75,75,Asyut,EG,2021-11-29 00:28:08,27.181,31.1837,70.65,21,64,4.81
76,76,Arkhangelsk,RU,2021-11-29 00:28:08,64.5401,40.5433,5.11,92,20,2.24
77,77,Mufumbwe,ZM,2021-11-29 00:28:09,-13.6833,24.8,62.11,94,13,3.18
78,78,Scarborough,GB,2021-11-29 00:28:09,54.2797,-0.4044,33.37,75,60,12.3
79,79,Vega De Alatorre,MX,2021-11-29 00:28:09,20.0333,-96.6333,72.3,88,97,15.19
80,80,Gemena,CD,2021-11-29 00:28:10,3.25,19.7667,70.25,57,99,3.06
81,81,Avarua,CK,2021-11-29 00:28:10,-21.2078,-159.775,78.85,65,90,8.05
82,82,Richards Bay,ZA,2021-11-29 00:28:11,-28.783,32.0377,69.19,80,24,4.79
83,83,Te Anau,NZ,2021-11-29 00:28:11,-45.4167,167.7167,68.68,32,26,2.15
84,84,Svetlogorsk,BY,2021-11-29 00:28:11,52.6333,29.7333,39.36,97,97,9.24
85,85,Cabo San Lucas,MX,2021-11-29 00:25:27,22.8909,-109.9124,78.1,73,90,6.91
86,86,Port Hardy,CA,2021-11-29 00:28:12,50.6996,-127.4199,48.38,100,90,3.44
87,87,Bengkulu,ID,2021-11-29 00:28:12,-3.8004,102.2655,77.5,82,97,5.86
88,88,Nuristan,AF,2021-11-29 00:28:13,35.3,70.8333,14.81,65,54,9.69
89,89,Tuatapere,NZ,2021-11-29 00:28:13,-46.1333,167.6833,65.7,41,16,6.8
90,90,Westport,US,2021-11-29 00:28:13,41.1415,-73.3579,37.54,75,90,4.61
91,91,Aklavik,CA,2021-11-29 00:28:14,68.2191,-135.0107,-13.97,85,100,18.81
92,92,Port Lincoln,AU,2021-11-29 00:28:14,-34.7333,135.8667,67.73,55,0,6.29
93,93,Cidreira,BR,2021-11-29 00:29:14,-30.1811,-50.2056,71.1,89,100,8.99
94,94,Taltal,CL,2021-11-29 00:29:15,-25.4,-70.4833,62.33,80,24,3.62
95,95,Moose Factory,CA,2021-11-29 00:29:15,51.2585,-80.6094,21.2,93,90,0.0
96,96,Chase,CA,2021-11-29 00:29:15,50.8165,-119.6857,41.88,99,100,2.17
97,97,Carnarvon,AU,2021-11-29 00:29:16,-24.8667,113.6333,84.27,45,1,16.11
98,98,Ribeira Grande,PT,2021-11-29 00:29:16,38.5167,-28.7,62.08,63,95,5.12
99,99,Sao Sebastiao,BR,2021-11-29 00:28:01,-23.76,-45.4097,71.83,90,61,5.75
