City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Mecca,SA,76.41,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
251,Muli,MV,82.94,broken clouds,2.9167,73.5667,Medhufushi Island Resort
252,Paoua,CF,83.73,scattered clouds,7.2427,16.4406,Quartier Paoua Elien
254,Manono,CD,80.74,broken clouds,-7.3,27.4167,Hotel hewa bora
257,Taganak,PH,80.74,overcast clouds,6.0833,118.3,Taganak
261,Yarada,IN,79.12,broken clouds,17.65,83.2667,Vishranti
268,Tomatlan,MX,84.81,few clouds,19.9333,-105.25,El Salvial
270,Ambulu,ID,75.72,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
274,Bandarbeyla,SO,78.13,clear sky,9.4942,50.8122,JABIR HOTEL
287,Frontera,MX,81.32,scattered clouds,26.9333,-101.45,Casagrande Hotel
297,Ndola,ZM,75.27,clear sky,-12.9587,28.6366,Chabanga Lodge iSpot
300,Ambilobe,MG,80.83,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
303,Labuan,MY,77.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
304,Vanimo,PG,78.28,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
306,Namatanai,PG,80.42,light rain,-3.6667,152.4333,Seagulls Inn Namatani
307,Sakete,BJ,85.14,broken clouds,6.7362,2.6587,IBUKUN OLUWA
308,Cozumel,MX,82.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
311,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
317,Jega,NG,86.32,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
319,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
321,Teshie,GH,86.56,clear sky,5.5836,-0.1072,Adinkra Lodge
333,Inhambane,MZ,78.69,broken clouds,-23.865,35.3833,Oceano
346,Buala,SB,79.43,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
348,Petauke,ZM,83.23,broken clouds,-14.2426,31.3253,Newline Lodge
349,Padang,ID,77.49,light rain,-0.9492,100.3543,Mercure Padang
350,Pemangkat,ID,77.79,overcast clouds,1.1667,108.9667,Ramah Kost KITA
360,Bandrele,YT,82.15,clear sky,-12.9067,45.1914,Les Baobabs
364,Port Blair,IN,79.68,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
365,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
369,Souillac,MU,79.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
370,Tacuarembo,UY,84.29,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
374,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
377,Axim,GH,83.48,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
380,Ugoofaaru,MV,82.76,broken clouds,5.6667,73.0,Ungoofaaru Inn
382,Todos Santos,MX,83.01,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
383,Acari,PE,81.99,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
385,San Felipe,VE,87.24,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
386,Cocobeach,GA,84.13,light rain,1.0002,9.5823,Hotel Esperance
389,Calamar,CO,89.55,overcast clouds,10.2511,-74.9146,Hostal Katyalex
393,El Alto,PE,76.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
401,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
402,Amudat,UG,75.76,overcast clouds,1.95,34.95,Silent Night Hotel
407,Progreso,MX,82.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
408,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
412,Maxixe,MZ,78.53,broken clouds,-23.8597,35.3472,Oceano
419,Bastrop,US,76.42,scattered clouds,32.7562,-91.8724,Best Budget Inn
421,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
424,Ormara,PK,75.69,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
425,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
427,Phalaborwa,ZA,87.08,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
429,Jupiter,US,79.09,clear sky,26.9342,-80.0942,Jupiter Beach Resort & Spa
430,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
435,Kindu,CD,75.6,light rain,-2.95,25.95,Résidence Okanda
440,Tarauaca,BR,86.94,overcast clouds,-8.1614,-70.7656,Flat Temporada
441,Garowe,SO,76.46,clear sky,8.4054,48.4845,Curubo Hotel
443,Karangampel,ID,77.27,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
447,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
452,Jiwani,PK,76.89,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
456,Imbituba,BR,76.89,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
459,Lorengau,PG,82.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
